year,spen.ch,spen.so,spen.co,spen.pi,spen.cm,ch.ch,ch.so,ch.co,ch.pi,ch.cm,kod.ch,kod.so,kod.co,kod.pi,kod.cm,ci.ch,ci.so,ci.co,ci.pi,ci.cm,pws.ch,pws.so,pws.co,pws.pi,pws.cm,se.ch,se.so,se.co,se.pi,se.cm
1900,,,,,, ,6.250911355,3.812980166,4.607283416, ,3.074450719,6.587497805, ,3.30427505, ,4.819695254,5.851429586,3.95264717,3.747489492, ,3.662757832,5.903113873, ,5.496661243, ,4.628123163,6.317362679,5.449385822,6.876511698, 
1901,,,,,,2.11058971,6.060694064, , , ,3.503790683,6.261539539,4.54372047, , ,4.478176754,5.751424614,4.739287468,4.89897735, ,3.753353213,5.910808434, ,5.574503523, ,4.569584567,6.313989691,5.371918984,6.908522495,5.554341341
1902,,,,,, ,6.227794696,3.93530569,4.924780503, ,3.397244581,6.458655674,5.077516885,4, ,4.247187391,5.689617818,4.770616398, , ,4.301029996,5.865832125, ,5.600892342, ,4.836406409,6.533577612,5.815291445,6.742611006,6.220364665
1903,,,,,, ,6.112978147, ,4.443810401, ,3.561101384,6.33089387,5.013410284,3.71432976, ,4.350635608,4.980217056,4.376576957, , ,3.357172258,5.62324929, ,5.758886924, ,4.624117012,6.416731849,5.714209012,6.714179407,6.138131789
1904,,,,,, ,6.121751509, , , ,3.60368555,6.599933482,4.939084741, , ,4.798954338,5.353158102, , , ,2.939019776,5.579817882, , , ,4.950116476,6.418443823,5.600952215,6.485772233,6.131916538
1905,,,,,, ,6.210315041, , , ,3.481155871,6.626592247,4.375444126, , ,4.528582499,5.663342791,4.970741932,4.80685803, , ,5.449090987, , , ,5.005008821,6.342634052,5.819030375,6.847348915,6.261176477
1906,,,,,, ,6.212367946,2.903089987, , ,3.591843411,6.395823843,4.580457373, , ,4.775421108,5.82657622,5.248649944,3.807535028, ,3.486713776,5.765990246, ,5.40204289, ,5.05647034,6.40563164,5.701262231,7.078235591,5.84471383
1907,,,,,, ,6.23824789, , , ,3.203576775,6.282220936,4.867991625,5.456933586, ,4.690444177,5.765342153,4.977430929,5.574193374,3.11991541,2.988558957,5.669409867, ,4.255706583, ,5.244534404,6.445831565,5.660732704,7.133293782,6.300343268
1908, ,4.665580991,3.857332496, ,4.919078092, ,6.118817413, , ,4.169909442,2.838219222,6.29108389,4.711807229,5.186377078,3.812378511,4.746984295,5.924375958,4.946206554,3.572871602,2.874481818,3.13289977,5.462570184, , , ,5.167813388,6.475218647,5.521629657,6.977609668,6.44478169
1909, ,5.381656483,3.740362689, ,5.290034611,1.51851394,6.032455568,4.567108745,4.234770295,4.450741645,2.836324116,6.429097762,4.646315486,5.333209405,4.390723204,4.680027136,6.096615983,4.901469219,5.337790596,5.085033565,3.791058744,5.63416378,4.512684396,5.294181747,2.694605199,5.608290638,6.461946696,5.810276214,6.974295643,6.727730793
