year,Chinook,Sockeye,Coho,Pink,Chum
1900,5.057985433,6.965535034,5.4726219,6.89691107,
1901,4.881823865,6.807214804,5.512280058,6.932237934,5.554341341
1902,5.036537077,6.964014734,5.924637948,6.779709739,6.220364665
1903,4.847696021,6.817272899,5.80941964,6.762313798,6.138131789
1904,5.195836025,6.930971534,5.686541536,6.485772233,6.131916538
1905,5.139759482,6.944402764,5.890109579,6.851287341,6.261176477
1906,5.256438708,6.902372918,5.856596589,7.087522041,5.84471383
1907,5.356415973,6.880559627,5.796979994,7.154480516,6.300629826
1908,5.311880953,6.871156946,5.680721583,6.984745216,6.460860272
1909,5.663273015,6.933546759,5.926869558,7.003132921,6.756809031
1910,5.628258111,6.937999511,6.035729438,7.340717694,6.410378005
1911,5.593119851,6.839019943,6.111692561,7.393006774,6.759716256
1912,5.579653289,6.932905511,5.851555525,7.42081729,6.606577936
1913,5.535015474,6.955448991,6.088093898,7.208591049,6.743712049
1914,5.61926764,7.007349521,6.045014559,7.49504143,6.895234145
1915,5.68016684,7.085534065,6.331471432,7.461866216,7.104826152
1916,5.803469407,7.03564319,6.261886377,7.636369297,7.041376892
1917,5.634603207,6.951859379,6.352365462,7.693121425,7.004890872
1918,5.675305308,7.003376379,6.375701465,7.410783507,6.346908203
1919,5.595956727,6.943670869,6.264046265,7.451275863,6.666478761
1920,5.92335232,6.966646348,6.000995564,6.897539839,6.673283249
1921,5.947234175,6.90624327,6.205379238,7.49056288,6.96604336
1922,5.837809948,6.915690288,6.232497274,7.637964852,7.017681041
1923,5.75053385,6.838260191,6.286977804,7.695121036,6.933552478
1924,5.889127389,7.043287203,6.291128768,7.549518405,6.68335616
1925,5.711066188,6.755051583,6.351603846,7.723757193,6.93981986
1926,5.767987282,6.818754118,6.434524035,7.332026675,6.887368748
1927,5.860560189,6.837663108,6.559851826,7.673348339,6.743155443
1928,5.749338159,6.775588605,6.315706542,7.600030271,6.691879118
1929,5.877976287,6.863883749,6.557643725,7.771561643,6.852119966
1930,5.719897821,6.97699008,6.293602511,7.608346299,6.827442231
1931,5.651143245,6.852663005,6.312600862,7.552062409,6.838470334
1932,5.868407539,6.929539694,6.28262823,7.59039501,6.918645728
1933,5.900055089,6.829087666,6.426720713,7.861934077,7.035148256
1934,5.996897637,7.119268232,6.353254962,7.697545399,6.898078358
1935,5.922311202,6.954158827,6.428192804,7.885910284,6.856490174
1936,5.866769817,6.95393154,6.296496485,7.821402818,6.782075199
1937,5.706091059,7.030460102,6.457203141,7.736197749,6.927483337
1938,5.873409545,6.797781187,6.189815562,7.644825146,6.769951279
1939,5.837705202,6.841529338,6.472376239,7.781813136,6.933587447
1940,5.743948541,6.813942683,6.591204561,7.891187701,6.956254368
1941,5.639869814,6.958734462,6.587825415,7.735899186,6.995995334
1942,5.743391376,6.865175897,6.378299583,7.674377804,6.846502508
